Antibody,एंटीबॉडी,प्रतिरोधक,प्रतिरक्षा प्रोटीन
Antigen,एंटीजन,प्रतिजन,प्रतिजन
Lymph,लसिका,लसीका,लसिका
Lymph Node,लसिका ग्रंथि,लसीका ग्रंथी,लसिका ग्रंथि
Spleen,प्लीहा,प्लीहा,प्लीहा
Thymus,थाइमस,थायमस,थाइमस
Bone Marrow,अस्थि मज्जा,स्नायु मज्जा,अस्थि मज्जा
T-Cell,टी-कोशिका,टी-कोशिका,टी-कोशिका
B-Cell,बी-कोशिका,बी-कोशिका,बी-कोशिका
Macrophage,फैगोसाइट,महाकोष,महाकोष
Inflammation,सूजन,सोज,शोथ
Allergy,एलर्जी,अॅलर्जी,अलर्जी
Autoimmune Disease,स्वप्रतिरक्षित रोग,स्वप्रतिरक्षित रोग,स्वप्रतिरक्षा रोग
Vaccine,टीका,लस,टीका
Infection,संक्रमण,संक्रमण,संक्रमण
Virus,वायरस,व्हायरस,वायरस
Bacteria,बैक्टीरिया,बॅक्टेरिया,सूक्ष्मजीव
Fungus,फंगस,बुरशी,कवक
Parasite,परजीवी,परजीवी,परजीवी
Influenza,इन्फ्लूएंजा,इन्फ्लुएन्झा,इन्फ्लूएंजा
COVID-19,कोविड-19,कोविड-19,कोविड-19
Tuberculosis,क्षयरोग,क्षयरोग,क्षय
Malaria,मलेरिया,मलेरिया,मलेरिया
Hepatitis B,हेपेटाइटिस बी,हिपॅटायटिस बी,हेपेटाइटिस बी
Hepatitis C,हेपेटाइटिस सी,हिपॅटायटिस सी,हेपेटाइटिस सी
Dengue,डेंगू,डेंग्यू,डेंगू
Zika Virus,ज़िका वायरस,झिका विषाणू,झिका विषाणु
Chikungunya,चिकनगुनिया,चिकनगुनिया,चिकनगुनिया
Sepsis,सेप्सिस,सेप्सिस,सेप्सिस
Shock,शॉक,शॉक,शॉक
Fever,बुखार,ताप,ज्वर
Cough,खांसी,खोकला,कफ
Cold,सर्दी,थंडी,शीत
Headache,सिरदर्द,डोकेदुखी,शिरशूल
Migraine,माइग्रेन,मायग्रेन,माइग्रेन
Pain,दर्द,दुखणे,पीड़ा
Analgesic,दर्दनिवारक,दुख निवारक,शूलनिवारक
Antipyretic,बुखार कम करने वाली दवा,ताप कमी करणारी औषध,ज्वरनिवारक
Anti-inflammatory,सूजनरोधी,सोज कमी करणारी,शोथनिवारक
Antibiotic,एंटीबायोटिक,प्रतिजैविक,प्रतिजैविक
Antiviral,एंटीवायरल,विषाणू विरोधी,विषाणूनिवारक
Antifungal,एंटीफंगल,कवकरोधी,कवकनिवारक
Chemotherapy,रासायनिक चिकित्सा,रासायनिक उपचार,रासायनिक चिकित्सा
Radiotherapy,विकिरण चिकित्सा,किरण उपचार,विकिरण चिकित्सा
Surgery,सर्जरी,शस्त्रक्रिया,शल्य
Anesthesia,स्नायुशोथ,स्नायुशोथ,स्नायुवैद्य
General Anesthesia,सामान्य संज्ञाहरण,सामान्य संज्ञाहरण,सामान्य संज्ञाहरण
Local Anesthesia,स्थानीय संज्ञाहरण,स्थानिक संज्ञाहरण,स्थानिक संज्ञाहरण
Pain Management,दर्द प्रबंधन,दुख निवारण,पीड़ा प्रबंधन
Wound,घाव,जखम,व्रण
Burn,जलन,सुटका,दाह
Fracture,हड्डी का टूटना,हाड तुटणे,भंग
Sprain,मोड़ना,सोप,मोड
Dislocation,हड्डी का खिसकना,हाड विस्थापन,स्थानीय विस्थापन
Injury,चोट,जखम,आघात
Rehabilitation,पुनर्वास,पुनर्वसन,पुनर्वसन
Physiotherapy,भौतिक चिकित्सा,शारीरिक उपचार,शारीरिक चिकित्सा
Occupational Therapy,व्यावसायिक चिकित्सा,व्यावसायिक उपचार,कौशल चिकित्सा
Psychiatry,मनोचिकित्सा,मानसोपचार,मनोविज्ञान चिकित्सा
Psychology,मनोविज्ञान,मानसशास्त्र,मनोविज्ञान
Depression,अवसाद,निराशा,विषाद
Anxiety,चिंता,काळजी,चिंता
Stress,तनाव,ताण,तनाव
Sleep Disorder,नींद विकार,झोप समस्या,निद्रा विकार
Insomnia,अनिद्रा,निद्रानाश,अनिद्रा
Memory,स्मृति,स्मरणशक्ती,स्मृति
Cognition,संज्ञान,संज्ञान,संज्ञान
Learning,अधिगम,अधिगम,अधिगम
Attention,ध्यान,लक्ष्य,ध्यान
Behavior,व्यवहार,वर्तणूक,व्यवहार
Emotion,भावना,भाव,भाव
Personality,व्यक्तित्व,वैयक्तिकता,व्यक्तित्व
Mental Health,मानसिक स्वास्थ्य,मानसिक आरोग्य,मानसिक स्वास्थ्य
Neuroscience,तंत्रिका विज्ञान,स्नायूशास्त्र,स्नायु विज्ञान
Brain,मस्तिष्क,मेंदू,मस्तिष्क
Cerebrum,मस्तिष्क,मस्तिष्क,मस्तिष्क
Cerebellum,स्नायुशिरा,स्नायुशिरा,स्नायुशिरा
Brainstem,मस्तिष्क कंब,मेंदूचा कंब,मस्तिष्क कंब
Spinal Cord,मेरुदंड,मणक,स्पाइनल कॉर्ड
Neuron,तंत्रिका कोशिका,स्नायुकोश,नाड़ी कोशिका
Synapse,सिनैप्स,सिनॅप्स,संपर्क बिंदु
Neurotransmitter,तंत्रिका स्रावक,स्नायु स्रावक,तंत्रिका द्रव्य
